mass	intensity
1000.0	97.345
1000.5	100.678
1001.0	98.901
1001.5	103.234
1002.0	99.567
1002.5	104.890
1003.0	98.123
1003.5	103.456
1004.0	99.789
1004.5	104.012
1005.0	98.345
1005.5	103.678
1006.0	99.901
1006.5	104.234
1007.0	98.567
1007.5	103.890
1008.0	99.123
1008.5	104.456
1009.0	98.789
1009.5	104.012
1010.0	99.345
1398.0	105.678
1398.5	115.901
1399.0	132.234
1399.5	160.567
1400.0	540.890
1400.5	161.123
1401.0	133.456
1401.5	116.789
1402.0	106.012
1402.5	100.345
1403.0	97.678
1898.0	104.901
1898.5	114.234
1899.0	130.567
1899.5	158.890
1900.0	670.123
1900.5	159.456
1901.0	131.789
1901.5	115.012
1902.0	105.345
1902.5	99.678
1903.0	96.901
2398.0	103.234
2398.5	113.567
2399.0	129.890
2399.5	157.123
2400.0	610.456
2400.5	158.789
2401.0	130.012
2401.5	114.345
2402.0	104.678
2402.5	99.901
2403.0	96.234
2898.0	102.567
2898.5	112.890
2899.0	128.123
2899.5	156.456
2900.0	640.789
2900.5	157.012
2901.0	129.345
2901.5	113.678
2902.0	104.901
2902.5	99.234
2903.0	95.567
3398.0	101.890
3398.5	111.123
3399.0	127.456
3399.5	154.789
3400.0	580.012
3400.5	156.345
3401.0	128.678
3401.5	112.901
3402.0	103.234
3402.5	98.567
3403.0	94.890
3898.0	100.123
3898.5	110.456
3899.0	126.789
3899.5	153.012
3900.0	560.345
3900.5	154.678
3901.0	127.901
3901.5	111.234
3902.0	102.567
3902.5	97.890
3903.0	94.123
4400.0	99.456
4400.5	102.789
4401.0	98.012
4401.5	103.345
4402.0	99.678
4998.0	101.901
4998.5	98.234
4999.0	104.567
4999.5	99.890
5000.0	103.123
